120 ---- 150296274068.10388 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-0.7142857142857144, 0.7142857142857144], [-7.142857142857142, -4.285714285714286], [1.3, 1.6]]
121 ---- 18481760065.936558 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-0.7142857142857144, 0.7142857142857144], [-4.285714285714286, -1.4285714285714288], [1.3, 1.6]]
122 ---- 103704942.91516629 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-0.7142857142857144, 0.7142857142857144], [-1.4285714285714288, 1.4285714285714288], [1.3, 1.6]]
123 ---- 142817897324.3913 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-0.7142857142857144, 0.7142857142857144], [1.4285714285714288, 4.2857142857142865], [1.3, 1.6]]
124 ---- 246616572633.2114 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-0.7142857142857144, 0.7142857142857144], [4.2857142857142865, 7.142857142857142], [1.3, 1.6]]
125 ---- 420080750933.44385 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-0.7142857142857144, 0.7142857142857144], [7.142857142857142, 10.0], [1.3, 1.6]]
126 ---- 252929440687.53418 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [0.7142857142857144, 2.1428571428571432], [-10.0, -7.142857142857142], [1.3, 1.6]]
127 ---- 126899410428.5444 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [0.7142857142857144, 2.1428571428571432], [-7.142857142857142, -4.285714285714286], [1.3, 1.6]]
128 ---- 11098685146.400682 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [0.7142857142857144, 2.1428571428571432], [-4.285714285714286, -1.4285714285714288], [1.3, 1.6]]
129 ---- 280942822.3809183 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [0.7142857142857144, 2.1428571428571432], [-1.4285714285714288, 1.4285714285714288], [1.3, 1.6]]
130 ---- 46544870097.525246 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [0.7142857142857144, 2.1428571428571432], [1.4285714285714288, 4.2857142857142865], [1.3, 1.6]]
131 ---- 342317975951.4123 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [0.7142857142857144, 2.1428571428571432], [4.2857142857142865, 7.142857142857142], [1.3, 1.6]]
132 ---- 605593058211.1396 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [0.7142857142857144, 2.1428571428571432], [7.142857142857142, 10.0], [1.3, 1.6]]
133 ---- 483528857662.0913 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [2.1428571428571432, 3.571428571428571], [-10.0, -7.142857142857142], [1.3, 1.6]]
134 ---- 178304685604.1931 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [2.1428571428571432, 3.571428571428571], [-7.142857142857142, -4.285714285714286], [1.3, 1.6]]
135 ---- 6915366205.326285 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [2.1428571428571432, 3.571428571428571], [-4.285714285714286, -1.4285714285714288], [1.3, 1.6]]
136 ---- 28514878.419983506 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [2.1428571428571432, 3.571428571428571], [-1.4285714285714288, 1.4285714285714288], [1.3, 1.6]]
137 ---- 73246900296.08943 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [2.1428571428571432, 3.571428571428571], [1.4285714285714288, 4.2857142857142865], [1.3, 1.6]]
