109 ---- 3.356871872251564e+20 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-7.142857142857142, -4.285714285714286], [2.857142857142857, 3.5714285714285716]]
110 ---- 4.1536996740407904e+17 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-7.142857142857142, -4.285714285714286], [3.5714285714285716, 4.285714285714286]]
111 ---- 1678486246007645.2 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-7.142857142857142, -4.285714285714286], [4.285714285714286, 5.0]]
112 ---- 1.815172884399618e+30 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-4.285714285714286, -1.4285714285714288], [0.0, 0.7142857142857143]]
113 ---- 2.5445543067154595e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-4.285714285714286, -1.4285714285714288], [0.7142857142857143, 1.4285714285714286]]
114 ---- 1.0316780480611332e+25 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-4.285714285714286, -1.4285714285714288], [1.4285714285714286, 2.142857142857143]]
115 ---- 1.6504865189107303e+23 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-4.285714285714286, -1.4285714285714288], [2.142857142857143, 2.857142857142857]]
116 ---- 3.4148347755351613e+19 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-4.285714285714286, -1.4285714285714288], [2.857142857142857, 3.5714285714285716]]
117 ---- 7.801321311420498e+16 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-4.285714285714286, -1.4285714285714288], [3.5714285714285716, 4.285714285714286]]
118 ---- 230276856711523.88 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-4.285714285714286, -1.4285714285714288], [4.285714285714286, 5.0]]
119 ---- 8.71743708503062e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-1.4285714285714288, 1.4285714285714288], [0.0, 0.7142857142857143]]
120 ---- 3.1054341848306106e+24 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-1.4285714285714288, 1.4285714285714288], [0.7142857142857143, 1.4285714285714286]]
121 ---- 1.9523388758667677e+23 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-1.4285714285714288, 1.4285714285714288], [1.4285714285714286, 2.142857142857143]]
122 ---- 2.7393652069662222e+20 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-1.4285714285714288, 1.4285714285714288], [2.142857142857143, 2.857142857142857]]
123 ---- 3.15327375389385e+17 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-1.4285714285714288, 1.4285714285714288], [2.857142857142857, 3.5714285714285716]]
