110 ---- 18367.004531045597 ---- [[6.122448979591837, 8.16326530612245], [-1.0204081632653095, 5.102040816326527], [17.3469387755102, 23.469387755102037]]
111 ---- 29871.247808514425 ---- [[6.122448979591837, 8.16326530612245], [-1.0204081632653095, 5.102040816326527], [23.469387755102037, 29.59183673469387]]
112 ---- 37698.074022296474 ---- [[6.122448979591837, 8.16326530612245], [-1.0204081632653095, 5.102040816326527], [29.59183673469387, 35.71428571428571]]
113 ---- 189.093718264063 ---- [[6.122448979591837, 8.16326530612245], [5.102040816326527, 11.224489795918362], [-7.142857142857146, -1.0204081632653095]]
113 ---- 163.00133783494172 ---- [[6.122448979591837, 8.16326530612245], [5.102040816326527, 11.224489795918362], [-1.0204081632653095, 5.102040816326527]]
114 ---- 316.1689710180212 ---- [[6.122448979591837, 8.16326530612245], [5.102040816326527, 11.224489795918362], [5.102040816326527, 11.224489795918362]]
115 ---- 1477.4258911465222 ---- [[6.122448979591837, 8.16326530612245], [5.102040816326527, 11.224489795918362], [11.224489795918362, 17.3469387755102]]
116 ---- 5346.346670454521 ---- [[6.122448979591837, 8.16326530612245], [5.102040816326527, 11.224489795918362], [17.3469387755102, 23.469387755102037]]
116 ---- 9054.7930957529 ---- [[6.122448979591837, 8.16326530612245], [5.102040816326527, 11.224489795918362], [23.469387755102037, 29.59183673469387]]
117 ---- 267.70250975497135 ---- [[6.122448979591837, 8.16326530612245], [11.224489795918362, 17.3469387755102], [-7.142857142857146, -1.0204081632653095]]
118 ---- 20058.180018076346 ---- [[6.122448979591837, 8.16326530612245], [5.102040816326527, 11.224489795918362], [29.59183673469387, 35.71428571428571]]
119 ---- 162.79863015269655 ---- [[6.122448979591837, 8.16326530612245], [11.224489795918362, 17.3469387755102], [-1.0204081632653095, 5.102040816326527]]
120 ---- 140.9656781064648 ---- [[6.122448979591837, 8.16326530612245], [11.224489795918362, 17.3469387755102], [5.102040816326527, 11.224489795918362]]
121 ---- 138.19408549813173 ---- [[6.122448979591837, 8.16326530612245], [11.224489795918362, 17.3469387755102], [11.224489795918362, 17.3469387755102]]
122 ---- 2997.338164961824 ---- [[6.122448979591837, 8.16326530612245], [11.224489795918362, 17.3469387755102], [29.59183673469387, 35.71428571428571]]
122 ---- 847.7180565870592 ---- [[6.122448979591837, 8.16326530612245], [11.224489795918362, 17.3469387755102], [23.469387755102037, 29.59183673469387]]
122 ---- 139.7970949588018 ---- [[6.122448979591837, 8.16326530612245], [11.224489795918362, 17.3469387755102], [17.3469387755102, 23.469387755102037]]
123 ---- 2350.7049679561683 ---- [[6.122448979591837, 8.16326530612245], [17.3469387755102, 23.469387755102037], [-1.0204081632653095, 5.102040816326527]]
123 ---- 9973.221368917399 ---- [[6.122448979591837, 8.16326530612245], [17.3469387755102, 23.469387755102037], [-7.142857142857146, -1.0204081632653095]]
124 ---- 228.30517119341937 ---- [[6.122448979591837, 8.16326530612245], [17.3469387755102, 23.469387755102037], [5.102040816326527, 11.224489795918362]]
125 ---- 139.7038500930844 ---- [[6.122448979591837, 8.16326530612245], [17.3469387755102, 23.469387755102037], [11.224489795918362, 17.3469387755102]]
126 ---- 148.69543350243063 ---- [[6.122448979591837, 8.16326530612245], [17.3469387755102, 23.469387755102037], [23.469387755102037, 29.59183673469387]]
126 ---- 136.70104794281787 ---- [[6.122448979591837, 8.16326530612245], [17.3469387755102, 23.469387755102037], [17.3469387755102, 23.469387755102037]]
127 ---- 190.4307694557187 ---- [[6.122448979591837, 8.16326530612245], [17.3469387755102, 23.469387755102037], [29.59183673469387, 35.71428571428571]]
128 ---- 28052.091514157706 ---- [[6.122448979591837, 8.16326530612245], [23.469387755102037, 29.59183673469387], [-7.142857142857146, -1.0204081632653095]]
129 ---- 20935.689578224643 ---- [[6.122448979591837, 8.16326530612245], [23.469387755102037, 29.59183673469387], [-1.0204081632653095, 5.102040816326527]]
130 ---- 11259.487057926295 ---- [[6.122448979591837, 8.16326530612245], [23.469387755102037, 29.59183673469387], [5.102040816326527, 11.224489795918362]]
131 ---- 409.7788508744569 ---- [[6.122448979591837, 8.16326530612245], [23.469387755102037, 29.59183673469387], [17.3469387755102, 23.469387755102037]]
131 ---- 4885.602410171827 ---- [[6.122448979591837, 8.16326530612245], [23.469387755102037, 29.59183673469387], [11.224489795918362, 17.3469387755102]]
132 ---- 172.29546236424562 ---- [[6.122448979591837, 8.16326530612245], [23.469387755102037, 29.59183673469387], [29.59183673469387, 35.71428571428571]]
