 ----------------- 2022-08-02 15:36:34 ----------------- 124.2426161085815 [[0.0, 1000.0], [0.0, 5.0], [0.0, 1000.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:37:02 ----------------- 1.656437368917135 [[-1000.0, 0.0], [5.0, 10.0], [-1000.0, 0.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:37:03 ----------------- 0.5068996934216409 [[-1000.0, 0.0], [5.0, 10.0], [-1000.0, 0.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:37:04 ----------------- 1.4312303624159006 [[0.0, 1000.0], [5.0, 10.0], [-1000.0, 0.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:37:05 ----------------- 1.1879422707585015 [[0.0, 1000.0], [5.0, 10.0], [-1000.0, 0.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:37:07 ----------------- 0.6542921321680666 [[-1000.0, 0.0], [5.0, 10.0], [0.0, 1000.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:37:08 ----------------- 0.8781605286291793 [[0.0, 1000.0], [5.0, 10.0], [0.0, 1000.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:37:09 ----------------- 1.458733393641067 [[-1000.0, 0.0], [5.0, 10.0], [0.0, 1000.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:37:10 ----------------- 0.8486165268510057 [[0.0, 1000.0], [5.0, 10.0], [0.0, 1000.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:37:25 ----------------- 0.4841574048556211 [[-1000.0, 0.0], [5.0, 10.0], [-1000.0, 0.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:37:26 ----------------- 0.4836492744755856 [[-1000.0, 0.0], [5.0, 10.0], [0.0, 1000.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:37:27 ----------------- 2.7010002591095823 [[0.0, 1000.0], [5.0, 10.0], [0.0, 1000.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:37:29 ----------------- 0.9183868613989576 [[0.0, 1000.0], [5.0, 10.0], [0.0, 1000.0], [-1000.0, 0.0], [0.0, 2.0]]
 --------- 2022-08-02 15:42:05 --------- 3 seconds -------- 15083.980395940192 [[-1000.0, -600.0], [0.0, 2.0], [-1000.0, -600.0], [-1000.0, -600.0], [0.0, 0.8]]
 --------- 2022-08-02 15:42:09 --------- 3 seconds -------- 25728.14142913354 [[-1000.0, -600.0], [0.0, 2.0], [-1000.0, -600.0], [-1000.0, -600.0], [0.8, 1.6]]
 --------- 2022-08-02 15:42:12 --------- 3 seconds -------- 111992.5195240253 [[-1000.0, -600.0], [0.0, 2.0], [-1000.0, -600.0], [-1000.0, -600.0], [1.6, 2.4]]
 --------- 2022-08-02 15:42:16 --------- 3 seconds -------- 280095.0859633218 [[-1000.0, -600.0], [0.0, 2.0], [-1000.0, -600.0], [-1000.0, -600.0], [2.4, 3.2]]
 --------- 2022-08-02 15:42:19 --------- 3 seconds -------- 305078.5821670518 [[-1000.0, -600.0], [0.0, 2.0], [-1000.0, -600.0], [-1000.0, -600.0], [3.2, 4.0]]
